title,author,publisher,pub_date,price,link,img_src
리옴빠,유리 올레샤,미행,2020.05.05,"15,300원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16345496,https://bookthumb-phinf.pstatic.net/cover/163/454/16345496.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
카구야 프로젝트,원샨,아작,2020.05.05,"13,320원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16340354,https://bookthumb-phinf.pstatic.net/cover/163/403/16340354.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
"세 개의 단어, 그리고 십 분",박지현,아홉프레스,2020.05.05,"12,600원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16342511,https://bookthumb-phinf.pstatic.net/cover/163/425/16342511.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
닐라칸타 Nilakantha,장량,세니오,2020.05.04,"16,200원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16343546,https://bookthumb-phinf.pstatic.net/cover/163/435/16343546.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
오 헨리 단편선(2020년 리커버)(개정판),오 헨리,책만드는집,2020.05.04,"11,520원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16344571,https://bookthumb-phinf.pstatic.net/cover/163/445/16344571.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
밤 끝으로의 여행,루이 훼르디낭 쎌린느,최측의농간,2020.05.04,"25,200원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16340053,https://bookthumb-phinf.pstatic.net/cover/163/400/16340053.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
"서른다섯, 다시 시작해",강혁모,마음세상,2020.05.04,"11,880원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16329358,https://bookthumb-phinf.pstatic.net/cover/163/293/16329358.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
십자가 벌판,까를로스 알폰소,재남,2020.05.02,"13,500원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16345747,https://bookthumb-phinf.pstatic.net/cover/163/457/16345747.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
겐지 이야기 2,무라사키 시키부,동서문화사,2020.05.01,"14,400원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16324208,https://bookthumb-phinf.pstatic.net/cover/163/242/16324208.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
겐지 이야기 3,무라사키 시키부,동서문화사,2020.05.01,"14,400원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16324210,https://bookthumb-phinf.pstatic.net/cover/163/242/16324210.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
시절과 기분,김봉곤,창비,2020.05.01,"12,600원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16343515,https://bookthumb-phinf.pstatic.net/cover/163/435/16343515.jpg?type=m1&udate=Sat May 02 17:04:37 KST 2020
